Gene	Haploinsufficency Index (%)	pLi Score	Cohort Polymorphism Rate (%)
ACSF3	79.2	0	0
ACVR1	3.27	0.924	14
ADAP1	69.81	0.858	2.5
ADCY5	11.41	0.999	5.56
ADNP	9.79	0.998	3.54
AFF2	2.76	0.997	90
AFF3	20.57	1	59.09
AFF4	11.5	1	0
AGO1	2.94	1	2
AGO4	14.04	0.993	7
AHDC1	18.42	0.999	0.5
AIFM1	6.56	0.994	0
AKT3	2.71	0.999	53
AMER1	62.06	0.985	2.53
ANKH	40.3	0.111	50.5
ANKRD11	75.55	1	50
AP1S2	10.13	0.781	3
AP2S1	37.41	0.905	7.5
AP4E1	43.26	0.997	49.5
ARF1	17.12	0.805	9
ARHGAP35	21.6	1	7.5
ARHGEF6	14.42	0.995	0.5
ARID1A	9.63	1	10.5
ARID1B	14.17	1	46
ARID2	11.02	1	65.5
ARMC9	62.2	0	0
ARX	20.25	0.745	15.5
ASCL1	3.46	0.75	51
ASXL1	20.78	0	16.5
ASXL2	43.83	0.979	0
ASXL3	13.78	1	80.3
ATAD3A	65.43	0.336	1.5
ATN1	8.41	0.996	8.25
ATP1A1	33.72	1	4
ATP2A2	26.18	0.994	1
ATP6V0A1	20.07	0.998	11
ATP6V0A2	46.77	0	0
ATP7A	30.07	0.999	0
AUH	64.75	0.005	50
AUTS2	0.51	0.997	35.5
BCL11A	0.61	0.989	6.5
BCL11B	12.44	0.904	62
BCOR	16.71	1	8
BCORL1	36.48	0.991	12.5
BICD2	50	0.228	18.5
BMP2	0.64	0.926	3
BMPR2	1.48	1	23.5
BPTF	36.79	1	4
BRAF	8.98	1	0
BRPF1	15.78	0.999	14
BRSK2	60.26	0.894	16
CABP7	36.64	0.884	5
CACNA1A	35.52	1	16
CACNA1C	8.42	1	0
CACNG2	14.39	0.947	65
CAMK2B	16.28	0.634	18.18
CAMTA1	2.22	1	0.5
CAPN10	53.52	0	0
CASK	3.08	1	50.5
CASZ1	12.36	1	41.24
CBL	3.6	0.01	83.5
CCBE1	44.75	0	0.5
CCNK	16.64	0.995	2
CDC42BPB	65.08	1	5.1
CDH15	74.65	0	0
CDH2	0.55	0.943	52
CDK13	11.16	0.947	57.5
CDK5RAP2	55.08	0	18
CDK8	1.81	0.878	0
CDKL5	13.18	0.995	0
CDON	39.54	0	2
CELF2	1.73	0.998	1
CELF4	4.37	0.952	1.5
CENPF	59.38	0	3
CHD3	16.92	1	26
CHD7	2.4	1	68.5
CLIP1	9.83	0.994	8
CLTCL1	72.86	0	1
CNKSR2	7.56	0.999	65
CNOT3	49.76	1	24
CNTNAP2	4.94	0.005	1
COG6	27.36	0	0.5
COL4A3BP	14.73	0.989	1.5
CREBBP	0.62	1	14.65
CSNK2A1	2.89	0.999	0
CTCF	2.59	0.996	2
CTSA	42.59	0.001	0
CTSD	51.46	0.647	0.5
CTTNBP2	26.94	0.01	50
CUL3	4.57	0.933	48
CUX2	20.94	1	5
CYB5R3	67.3	0.163	6
DEAF1	76.16	0.015	96.5
DEGS1	54.51	0.847	2
DENND5A	20.2	0.998	3.5
DEPDC5	37.92	1	0
DIP2B	27.8	1	94
DLG3	14.46	0.999	49.5
DLL1	4.66	0.998	0
DMD	0.27	1	1
DNMT3A	3.99	0	23
DONSON	35.71	0	48
DPP6	42.27	0.903	3.5
DPYSL5	32.42	0.997	0
DSCAM	11.07	1	9.18
DUSP15	63.28	0	1
DVL3	24.2	0.989	22.5
DYM	20.38	0	2
DYNC1H1	28.69	1	0
DYRK1A	3.69	0.999	0.5
EBF3	3.89	0.997	0.5
EHMT1	62.96	1	14.95
EIF5A	21.7	0.875	13
ELAVL3	18.52	0.78	2
EMX2	7.32	0.93	1.5
EP300	0.67	1	0.5
EPB41L1	14.68	0.989	10.5
ERF	36.32	0.937	1.5
EZH2	3.07	1	1
FAT4	57.14	1	0.5
FBN1	2.53	1	1
FBXO11	4.34	1	5
FBXW7	2.06	1	50
FGD1	18.2	0.95	5
FGF12	3.96	0.74	0
FGFR1	0.42	0.967	0.5
FGFR2	0.5	0.999	4.5
FGFR3	6.4	0.147	7
FKRP	60.13	0.017	15.5
FKTN	13.7	0.003	0.5
FLNA	8.01	1	0
FMN2	13.15	0.976	19
FMR1	2.45	0.297	100
FOSL2	25.31	0.912	0
FOXP1	0.14	0.999	2.5
FRAS1	41.67	0	0
FRMPD4	25.72	0.999	0
GABBR2	15.02	1	27
GABRB3	8.38	0.995	13
GAMT	62.39	0	0.5
GATAD2B	10.42	0.997	5
GDF6	17.17	0.898	0
GDI1	30.35	0.982	6.5
GIGYF1	37.39	0.996	55.61
GJA1	1.17	0.173	0
GLI2	4.89	0.997	2.5
GLI3	20.82	1	33.5
