Database	Term Name	Term ID	Adjusted p-value	Gene intersections
Gene Ontology : Molecular Function	double-stranded DNA binding	GO:0003690	3.45E-08	"AFF3,AGO2,CARM1,CASZ1,CENPB,CHD7,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HMGB3,HOXA13,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	transcription regulator activity	GO:0140110	9.24E-08	"AFF3,CARM1,CASZ1,CREBBP,CTBP2,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,KDM1A,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,SF1,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Molecular Function	sequence-specific double-stranded DNA binding	GO:1990837	1.54E-07	"AGO2,CARM1,CASZ1,CENPB,CHD7,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	sequence-specific DNA binding	GO:0043565	1.69E-07	"AGO2,CARM1,CASZ1,CENPB,CHD7,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	transcription cis-regulatory region binding	GO:0000976	2.84E-07	"AGO2,CARM1,CASZ1,CHD7,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	transcription regulatory region nucleic acid binding	GO:0001067	2.93E-07	"AGO2,CARM1,CASZ1,CHD7,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	DNA binding	GO:0003677	5.89E-07	"AFF3,AGO2,ASXL3,BEND7,CARM1,CASZ1,CENPB,CHD7,CREBBP,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HMGB3,HOXA13,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF532,ZNF618,ZNF713,SKI"
Gene Ontology : Molecular Function	RNA polymerase II transcription regulatory region sequence-specific DNA binding	GO:0000977	1.32153E-06	"CASZ1,CHD7,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,LMX1B,MAF,MAZ,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	DNA-binding transcription factor activity	GO:0003700	6.58081E-06	"AFF3,CASZ1,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,LMX1B,MAF,MAZ,NFIC,NKX6-2,NPAS3,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Molecular Function	"DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981	5.25015E-05	"CASZ1,CUX1,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,LMX1B,MAF,MAZ,NFIC,NKX6-2,NPAS3,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0000978	7.63205E-05	"CHD7,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,MAF,MAZ,MTA1,NFIC,NKX6-2,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	cis-regulatory region sequence-specific DNA binding	GO:0000987	0.000102654	"CHD7,EBF4,ELF1,FOXD1,FOXK2,GMEB1,HOXA13,MAF,MAZ,MTA1,NFIC,NKX6-2,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,YY1,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Molecular Function	heterocyclic compound binding	GO:1901363	0.00412311	"AFF3,AGO2,ASXL3,BEND7,CARM1,CASZ1,CDC42BPB,CENPB,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,DGKH,EBF4,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GMEB1,GNAS,HCN2,HMGB3,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAP4K4,MAPK4,MAZ,MEX3C,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SEPHS1,SF1,SIK1,TENT4A,TENT5A,U2AF1,UBE2E3,UBE2QL1,YY1,ZBTB46,ZCCHC14,ZCCHC2,ZFHX3,ZIC5,ZNF423,ZNF532,ZNF618,ZNF713,ADARB1,AFF2,SKI"
Gene Ontology : Molecular Function	organic cyclic compound binding	GO:0097159	0.005943765	"AFF3,AGO2,ASXL3,BEND7,CARM1,CASZ1,CDC42BPB,CENPB,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,DGKH,EBF4,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GMEB1,GNAS,HCN2,HMGB3,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAP4K4,MAPK4,MAZ,MEX3C,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SEPHS1,SF1,SIK1,TENT4A,TENT5A,U2AF1,UBE2E3,UBE2QL1,YY1,ZBTB46,ZCCHC14,ZCCHC2,ZFHX3,ZIC5,ZNF423,ZNF532,ZNF618,ZNF713,ADARB1,AFF2,SKI"
Gene Ontology : Molecular Function	metal ion binding	GO:0046872	0.006970781	"AGO2,ASXL3,CASZ1,CDC42BPB,CREBBP,DGKH,EBF4,EHMT1,FOXK2,GMEB1,GNAS,KMT2B,KMT5B,L3MBTL3,LARGE1,LMX1B,MAZ,MEX3C,MEX3D,MTA1,NOTCH2NLB,PITPNM3,RAB11FIP4,RXRA,SALL3,SEPHS1,SF1,SIK1,TENT4A,U2AF1,YY1,ZBTB46,ZCCHC14,ZCCHC2,ZFHX3,ZIC5,ZNF423,ZNF532,ZNF618,ZNF713,ADARB1,CBL,SKI,XYLT1"
Gene Ontology : Molecular Function	nucleic acid binding	GO:0003676	0.007058291	"AFF3,AGO2,ASXL3,BEND7,CARM1,CASZ1,CENPB,CHD7,CREBBP,CUX1,DAZAP1,EBF4,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MEX3C,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RXRA,SALL3,SF1,TENT5A,U2AF1,YY1,ZBTB46,ZCCHC14,ZCCHC2,ZFHX3,ZIC5,ZNF423,ZNF532,ZNF618,ZNF713,ADARB1,AFF2,SKI"
Gene Ontology : Molecular Function	cation binding	GO:0043169	0.012197619	"AGO2,ASXL3,CASZ1,CDC42BPB,CREBBP,DGKH,EBF4,EHMT1,FOXK2,GMEB1,GNAS,KMT2B,KMT5B,L3MBTL3,LARGE1,LMX1B,MAZ,MEX3C,MEX3D,MTA1,NOTCH2NLB,PITPNM3,RAB11FIP4,RXRA,SALL3,SEPHS1,SF1,SIK1,TENT4A,U2AF1,YY1,ZBTB46,ZCCHC14,ZCCHC2,ZFHX3,ZIC5,ZNF423,ZNF532,ZNF618,ZNF713,ADARB1,CBL,SKI,XYLT1"
Gene Ontology : Biological Process	regulation of RNA metabolic process	GO:0051252	4.80E-10	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,EBF4,EHMT1,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,AFF2,SKI"
Gene Ontology : Biological Process	regulation of nucleobase-containing compound metabolic process	GO:0019219	3.04E-09	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,EBF4,EHMT1,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,KMT5B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,AFF2,SKI"
Gene Ontology : Biological Process	positive regulation of nucleobase-containing compound metabolic process	GO:0045935	4.34E-08	"AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,DAZAP1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,KMT5B,LMX1B,MAF,MAZ,MEX3D,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,TENT4A,USP7,YY1,ZFHX3,ZNF423,SKI"
