Gene	Chromosome	Start	Cytoband	OMIM	HI	pLI	Description	Aliases
ADARB1	21	45074577	21q22.3	601218	66.51	0.843939346822973	adenosine deaminase RNA specific B1	ADAR2, DRABA2, DRADA2, NEDHYMS, RED1
AFF2	X	148500616	Xq28	300806	2.76	0.998760604472339	ALF transcription elongation factor 2	FMR2, FMR2P, FRAXE, MRX2, OX19, XLID109
AFF3	2	100142589	2q11.2	601464	20.57	0.998912591236449	ALF transcription elongation factor 3	KINS, LAF4, MLLT2-like
AGO2	8	140642312	8q24.3	606229	7.47	0.999992248962312	argonaute RISC catalytic component 2	CASC7, EIF2C2, LESKRES, LINC00980, PPD, Q10
ASXL3	18	33578218	18q12.1	615115	13.78	0.999977048473461	ASXL transcriptional regulator 3	BRPS, KIAA1713
BCL7A	12	122021883	12q24.31	601406	40.51	0.215729268155923	BAF chromatin remodeling complex subunit BCL7A	BCL7, SMARCJ1
BEND7	10	13529633	10p13	NA	37.1	0.01119032203323	BEN domain containing 7	C10orf30
BTBD2	19	2015713	19p13.3	608531	74.8	0.98767894213597	BTB domain containing 2	
BTBD6	14	105248532	14q32.33	NA	66.86	0.000422096018258331	BTB domain containing 6	BDPL
C11orf80	11	66744735	11q13.2	616109	72.63	0.00846259594390007	chromosome 11 open reading frame 80	HYDM4, TOP6BL, TOPOVIBL
CARM1	19	10871552	19p13.2	603934	14.83	0.999357708272541	coactivator associated arginine methyltransferase 1	PRMT4
CASZ1	1	10796645	1p36.22	609895	12.36	0.999938476327784	castor zinc finger 1	CAS11, CST, SRG, ZNF693, dJ734G22.1
CBL	11	119206338	11q23.3	165360	3.6	0.00678735718516732	Cbl proto-oncogene	C-CBL, CBL2, FRA11B, NSLL, RNF55
CDC42BPB	14	103057548	14q32.32	614062	65.08	0.999999999630375	CDC42 binding protein kinase beta	CHOCNS, MRCKB
CENPB	20	3786739	20p13	117140	56.64	0.973451328276556	centromere protein B	
CHD7	8	60678739	8q12.2	608892	2.4	0.999999999999751	chromodomain helicase DNA binding protein 7	CRG, HH5, IS3, KAL5
CREBBP	16	3880712	16p13.3	600140	0.62	0.999999999999794	CREB binding protein	CBP, KAT3A, MKHK1, RSTS, RSTS1
CTBP2	10	125162462	10q26.13	602619	12.33	0.655184958473335	C-terminal binding protein 2	
CUX1	7	101816006	7q22.1	116896	7.2	0.999988877535193	cut like homeobox 1	CASP, CDP, CDP/Cut, CDP1, COY1, CUTL1, CUX, Clox, Cux/CDP, GDDI, GOLIM6, Nbla10317, p100, p110, p200, p75
DAZAP1	19	1407585	19p13.3	607430	50.04	0.999571003507893	DAZ associated protein 1	
DENND11	7	141702165	7q34	620122	NA	NA	DENN domain containing 11	KIAA1147, LCHN, PRO2561
DGKH	13	42040069	13q14.11	604071	32.44	0.818123800274802	diacylglycerol kinase eta	DGKeta
DIP2B	12	50504984	12q13.12	611379	27.8	0.999668381879693	disco interacting protein 2 homolog B	
DUSP8	11	1572847	11p15.5	602038	69.59	0.6844729650101	dual specificity phosphatase 8	C11orf81, HB5, HVH-5, HVH8
EBF4	20	2692779	20p13	609935	46.85	0.0780569989244377	EBF family member 4	COE4, O/E-4, OE-4
EHMT1	9	137619004	9q34.3	607001	62.96	0.99999990401202	euchromatic histone lysine methyltransferase 1	EHMT1-IT1, EUHMTASE1, Eu-HMTase1, FP13812, GLP, GLP1, KLEFS1, KMT1D
EIF4G3	1	21176896	1p36.12	603929	20.95	0.999999906532496	eukaryotic translation initiation factor 4 gamma 3	eIF-4G 3, eIF4G 3, eIF4GII
ELF1	13	41061385	13q14.11	189973	34.11	0.547779993268523	E74 like ETS transcription factor 1	EFTUD1, RIA1
EPB41L4B	9	109321058	9q31.3	610340	33.24	0.999700026887568	erythrocyte membrane protein band 4.1 like 4B	CG1, EHM2, LULU2
F8A1	X	154886354	Xq28	305423	83.22	NA	coagulation factor VIII associated 1	DXS522E, F8A, HAP40
FMR1	X	147911918	Xq27.3	309550	2.45	0.127197887114845	fragile X messenger ribonucleoprotein 1	FMRP, FRAXA, POF, POF1
FOXD1	5	73448776	5q13.2	601091	74.44	NA	forkhead box D1	FKHL8, FREAC-4, FREAC4
FOXK2	17	82519731	17q25.3	147685	51.26	0.918748433171859	forkhead box K2	ILF, ILF-1, ILF1, nGTBP
FRA10AC1	10	93702958	10q23.33	608866	31.1	9.71537508229325e-10	FRA10A associated CGG repeat 1	C10orf4, F26C11.1-like, FRA10A, NEDGFC
GDF7	2	20667143	2p24.1	604651	57.97	0.778067351749562	growth differentiation factor 7	BMP12
GIGYF1	7	100694249	7q22.1	612064	37.39	0.978704811680111	GRB10 interacting GYF protein 1	GYF1, PERQ1
GMEB1	1	28668228	1p35.3	604409	20.12	0.960593932192331	glucocorticoid modulatory element binding protein 1	P96PIF, PIF96
GNAS	20	58839747	20q13.32	139320	8.83	0.9995400816303	GNAS complex locus	AHO, C20orf45, GNAS1, GPSA, GSA, GSP, NESP, PITA3, POH, SCG6, SgVI
GRIP1	12	67069337	12q14.3	604597	18.89	0.916894968096624	glutamate receptor interacting protein 1	FRASRS3, GRIP
GTF2IP1	7	75237704	7q11.23	NA	NA	NA	general transcription factor IIi pseudogene 1	WBSCR7
HCN2	19	589880	19p13.3	602781	76.44	0.832343161848257	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	BCNG-2, BCNG2, EIG17, FEB2, GEFSP11, HAC-1
HMGB3	X	150980506	Xq28	300193	36.49	0.770459764489854	high mobility group box 3	HMG-2a, HMG-4, HMG2A, HMG4
HOXA13	7	27200090	7p15.2	142959	10.56	NA	homeobox A13	HOX1, HOX1J
HS3ST4	16	25691958	16p12.1	604059	39.47	0.581015604864414	heparan sulfate-glucosamine 3-sulfotransferase 4	3-OST-4, 30ST4, 3OST4, h3-OST-4
