Call_ID	Chr	Start	Ref_Units	Mean_Units	Med_Units	Min_Units	Max_Units	Hits	Instability_Rating	SD	EE50	EE100	Status	Gene	Region	STR
1.100352663	1	100352663	4	5	5	4	5	191	0.003	0.072	0	0	POLYMORPHIC	CDC14A	UTR5	CGG
1.100539686	1	100539686	6	7	7	0	7	191	0.016	1.022	0	0	POLYMORPHIC	GPR88	exonic	CGG
1.10639028	1	10639028	6	7	7	0	32	166	0.154	5.718	0	0	POLYMORPHIC	CASZ1	exonic	CGG
1.10639216	1	10639216	6	7	7	5	10	157	0.016	0.348	0	0	POLYMORPHIC	CASZ1	exonic	CGG
1.10657255	1	10657255	5	6	6	6	6	191	0	0	0	0	STABLE	CASZ1	intronic	CGG
1.10694585	1	10694585	12	12	13	0	33	110	0.477	9.279	0	0	POLYMORPHIC	CASZ1	intronic	CGG
1.107141238	1	107141238	5	5	5	5	6	191	0.086	0.379	0	0	POLYMORPHIC	NTNG1	intronic	CGG
1.107964920	1	107964920	6	6	6	5	7	191	0.275	0.678	0	0	POLYMORPHIC	VAV3-AS1	ncRNA	CGG
1.108560105	1	108560105	13	14	14	11	23	191	0.11	1.614	0	0	POLYMORPHIC	FAM102B	UTR5	CGG
1.108560264	1	108560264	4	5	6	0	6	181	0.229	3.382	0	0	POLYMORPHIC	FAM102B	UTR5	CGG
1.108692677	1	108692677	4	5	5	5	6	191	0.003	0.072	0	0	POLYMORPHIC	PRPF38B	exonic	CGG
1.109100664	1	109100664	3	4	4	4	4	191	0	0	0	0	STABLE	SCARNA2	downstream	CGG
1.109250035	1	109250035	4	5	5	5	5	191	0	0	0	0	STABLE	CELSR2	UTR5	CGG
1.109250114	1	109250114	4	6	6	5	6	191	0.298	0.641	0	0	POLYMORPHIC	CELSR2	exonic	CGG
1.109397765	1	109397765	4	5	5	5	6	190	0.005	0.102	0	0	POLYMORPHIC	SORT1	exonic	CGG
1.109483914	1	109483914	3	5	4	1	46	191	0.076	7.396	0	0	POLYMORPHIC	ATXN7L2	UTR5	CGG
1.110210907	1	110210907	4	5	5	5	7	191	0.003	0.145	0	0	POLYMORPHIC	KCNC4	UTR5	CGG
1.110674565	1	110674565	3	4	4	4	7	191	0.01	0.345	0	0	POLYMORPHIC	KCNA3	exonic	CGG
1.110674769	1	110674769	4	5	5	5	5	191	0	0	0	0	STABLE	KCNA3	exonic	CGG
1.111215064	1	111215064	3	4	4	4	4	191	0	0	0	0	STABLE	DENND2D->CHI3L2	intergenic	CGG
1.111619786	1	111619786	3	4	4	3	5	191	0.047	0.308	0	0	POLYMORPHIC	LOC107985184	ncRNA	CGG
1.111756283	1	111756283	3	4	4	4	5	191	0.005	0.102	0	0	POLYMORPHIC	DDX20	intronic	CGG
1.111989725	1	111989725	22	22	23	1	33	188	0.5	5.042	0	0	POLYMORPHIC	KCND3->LINC01750	upstream	CGG
1.112674895	1	112674895	5	6	6	6	6	191	0	0	0	0	STABLE	MOV10	UTR5	CGG
1.112718979	1	112718979	3	3	3	3	4	191	0.073	0.355	0	0	POLYMORPHIC	TAFA3	UTR5	CGG
1.113759426	1	113759426	5	5	5	5	5	191	0	0	0	0	STABLE	PHTF1	UTR5	CGG
1.113929712	1	113929712	6	8	7	7	31	191	0.097	4.253	0	0	POLYMORPHIC	HIPK1	intronic	CGG
1.114511115	1	114511115	9	10	10	6	44	191	0.024	3.623	0	0	POLYMORPHIC	TRIM33	UTR5	CGG
1.115564394	1	115564394	8	9	9	9	13	191	0.194	0.658	0	0	POLYMORPHIC	NGF-AS1->VANGL1	intergenic	CGG
1.115641976	1	115641976	5	6	6	5	7	191	0.024	0.215	0	0	POLYMORPHIC	VANGL1	UTR5	CGG
1.116373319	1	116373319	8	9	9	9	9	191	0	0	0	0	STABLE	ATP1A1	UTR5	CGG
1.11691503	1	11691503	3	4	4	4	4	191	0	0	0	0	STABLE	MAD2L2	UTR5	CGG
1.117367469	1	117367469	6	7	7	3	7	191	0.005	0.408	0	0	POLYMORPHIC	MAN1A2	UTR5	CGG
1.119648153	1	119648153	7	8	8	8	28	191	0.099	2.171	0	0	POLYMORPHIC	ZNF697	UTR5	CGG
1.120069416	1	120069416	10	11	11	8	25	191	0.018	1.544	0	0	POLYMORPHIC	NOTCH2	UTR5	CGG
1.120069599	1	120069599	6	8	8	7	8	191	0.5	0	0	0	POLYMORPHIC	NOTCH2	UTR5	CGG
1.120558175	1	120558175	5	6	6	5	7	191	0.042	0.287	0	0	POLYMORPHIC	PDE4DIPP2	ncRNA	CGG
1.120724129	1	120724129	7	9	8	5	48	179	0.229	5.678	0	0	POLYMORPHIC	NOTCH2NLR	ncRNA	CGG
1.121097869	1	121097869	5	6	6	6	11	191	0.003	0.362	0	0	POLYMORPHIC	LOC100996318	ncRNA	CGG
1.1231800	1	1231800	3	4	4	4	4	191	0	0	0	0	STABLE	SDF4	intronic	CGG
1.1232807	1	1232807	4	5	5	4	5	190	0.024	0.213	0	0	POLYMORPHIC	B3GALT6	exonic	CGG
1.1273804	1	1273804	5	6	6	6	8	191	0.105	0.493	0	0	POLYMORPHIC	UBE2J2	UTR5	CGG
1.1349069	1	1349069	3	4	4	4	7	189	0.005	0.262	0	0	POLYMORPHIC	DVL1	UTR5	CGG
1.1361658	1	1361658	3	4	4	4	4	191	0	0	0	0	STABLE	MXRA8	UTR5	CGG
1.13700248	1	13700248	5	6	6	5	7	191	0.01	0.145	0	0	POLYMORPHIC	PRDM2	UTR5	CGG
1.13700369	1	13700369	6	7	7	0	7	191	0.026	1.255	0	0	POLYMORPHIC	PRDM2	intronic	CGG
1.1399284	1	1399284	6	7	7	7	9	191	0.003	0.145	0	0	POLYMORPHIC	CCNL2	exonic	CGG
1.143885290	1	143885290	5	6	6	6	6	190	0	0	0	0	STABLE	H2BP2	ncRNA	CGG
1.145823953	1	145823953	5	6	6	5	25	191	0.01	1.386	0	0	POLYMORPHIC	RNF115	UTR5	CGG
