Call_ID_38	Chr	Start	Gene	Region	Ref_Units	Mean_Units	Med_Units	Min_Units	Max_Units	SD	EE50	EE100	Instability_Rating
1.100352663	chr1	100352663	CDC14A	UTR5	4	5	5	0	12	0.12	0	0	5e-04
1.100539686	chr1	100539686	GPR88	exonic	6	7	7	0	39	0.637	0	0	0.005
1.10639028	chr1	10639028	CASZ1	exonic	6	7	7	0	151	3.1705	5	2	0.0325
1.10639216	chr1	10639216	CASZ1	exonic	6	7	7	0	42	0.7745	0	0	0.0145
1.10657255	chr1	10657255	CASZ1	intronic	5	6	6	5	8	0.031	0	0	0
1.10694585	chr1	10694585	CASZ1	intronic	12	13	13	0	100	4.4705	10	2	0.452
1.107141238	chr1	107141238	NTNG1	intronic	5	5	5	0	9	0.413	0	0	0.0865
1.107964920	chr1	107964920	VAV3-AS1	ncRNA	6	6	6	0	15	0.74	0	0	0.2755
1.108560105	chr1	108560105	FAM102B	UTR5	13	14	14	2	49	2.0185	0	0	0.1
1.108560264	chr1	108560264	FAM102B	UTR5	4	6	6	0	57	1.7795	4	0	0.0385
1.108692677	chr1	108692677	PRPF38B	exonic	4	5	5	5	16	0.0795	0	0	0
1.109100664	chr1	109100664	SCARNA2	downstream	3	4	4	3	8	0.0435	0	0	5e-04
1.109250035	chr1	109250035	CELSR2	UTR5	4	5	5	0	44	0.571	0	0	0.004
1.109250114	chr1	109250114	CELSR2	exonic	4	6	6	4	16	0.673	0	0	0.299
1.109397765	chr1	109397765	SORT1	exonic	4	5	5	0	31	0.5835	0	0	0.0055
1.109483914	chr1	109483914	ATXN7L2	UTR5	3	5	4	0	50	5.8385	5	0	0.073
1.110210907	chr1	110210907	KCNC4	UTR5	4	5	5	4	47	0.6945	0	0	0.007
1.110674565	chr1	110674565	KCNA3	exonic	3	4	4	0	47	1.0415	0	0	0.015
1.110674769	chr1	110674769	KCNA3	exonic	4	5	5	0	23	0.384	0	0	0.0025
1.111215064	chr1	111215064	DENND2D->CHI3L2	intergenic	3	4	4	3	4	0.011	0	0	0
1.111619786	chr1	111619786	LOC107985184	ncRNA	3	4	4	0	19	0.536	0	0	0.031
1.111756283	chr1	111756283	DDX20	intronic	3	4	4	1	50	0.3225	1	0	0.001
1.111989725	chr1	111989725	KCND3->LINC01750	upstream	22	22	23	0	55	2.4755	3	0	0.5115
1.112674895	chr1	112674895	MOV10	UTR5	5	6	6	5	38	0.2635	0	0	0
1.112718979	chr1	112718979	TAFA3	UTR5	3	3	3	0	15	0.338	0	0	0.0475
1.113759426	chr1	113759426	PHTF1	UTR5	5	5	5	0	9	0.2015	0	0	0.004
1.113929712	chr1	113929712	HIPK1	intronic	6	8	7	0	54	4.38	3	0	0.098
1.114511115	chr1	114511115	TRIM33	UTR5	9	10	10	0	52	1.8975	2	0	0.041
1.115564394	chr1	115564394	NGF-AS1->VANGL1	intergenic	8	9	9	4	20	0.6135	0	0	0.184
1.115641976	chr1	115641976	VANGL1	UTR5	5	6	6	0	40	0.896	0	0	0.0135
1.116373319	chr1	116373319	ATP1A1	UTR5	8	9	9	1	14	0.2505	0	0	0.002
1.11691503	chr1	11691503	MAD2L2	UTR5	3	4	4	1	7	0.051	0	0	5e-04
1.117367469	chr1	117367469	MAN1A2	UTR5	6	7	7	0	52	0.8675	2	0	0.006
1.119648153	chr1	119648153	ZNF697	UTR5	7	8	8	3	37	1.9175	0	0	0.114
1.120069416	chr1	120069416	NOTCH2	UTR5	10	12	12	0	56	3.6505	34	0	0.358
1.120069599	chr1	120069599	NOTCH2	UTR5	6	8	8	0	43	0.3225	0	0	0.4995
1.120558175	chr1	120558175	PDE4DIPP2	ncRNA	5	6	6	4	8	0.233	0	0	0.0275
1.120724129	chr1	120724129	NOTCH2NLR	ncRNA	7	8	8	0	70	1.974	8	0	0.347
1.121097869	chr1	121097869	LOC100996318	ncRNA	5	6	6	0	40	0.8165	0	0	0.0085
1.1231800	chr1	1231800	SDF4	intronic	3	4	4	1	19	0.1325	0	0	0.001
1.1232807	chr1	1232807	B3GALT6	exonic	4	5	5	2	30	0.4425	0	0	0.0245
1.1273804	chr1	1273804	UBE2J2	UTR5	5	6	6	0	29	0.852	0	0	0.0985
1.1349069	chr1	1349069	DVL1	UTR5	3	4	4	1	29	0.46	0	0	0.002
1.1361658	chr1	1361658	MXRA8	UTR5	3	4	4	4	5	0.0075	0	0	0
1.13700248	chr1	13700248	PRDM2	UTR5	5	6	6	0	46	0.759	0	0	0.005
1.13700369	chr1	13700369	PRDM2	intronic	6	7	7	0	48	0.6265	0	0	0.0065
1.1399284	chr1	1399284	CCNL2	exonic	6	7	7	0	30	0.531	0	0	0.006
1.143885290	chr1	143885290	H2BP2	ncRNA	5	6	6	1	35	0.49	0	0	0.0035
1.145823953	chr1	145823953	RNF115	UTR5	5	6	6	5	43	0.3125	0	0	0.0015
1.145874826	chr1	145874826	ANKRD35	exonic	3	4	4	4	5	0.0075	0	0	0
1.145957763	chr1	145957763	LIX1L	exonic	5	6	6	0	13	0.3695	0	0	0.0065
1.14599119	chr1	14599119	KAZN	exonic	4	5	5	0	56	0.4315	2	0	0.001
1.146228791	chr1	146228791	NOTCH2NLA	UTR5	10	12	11	0	60	4.876	76	0	0.078
1.146228973	chr1	146228973	NOTCH2NLA	UTR5	6	7	8	0	48	0.736	0	0	0.5
1.147172643	chr1	147172643	CHD1L->PRKAB2	upstream	5	6	6	2	10	0.061	0	0	5e-04
1.1471854	chr1	1471854	ATAD3B	UTR5	7	8	8	3	32	0.6195	0	0	0.0095
1.1471935	chr1	1471935	ATAD3B	exonic	3	4	4	0	26	0.3045	0	0	0.002
1.147600190	chr1	147600190	BCL9	intronic	8	9	9	0	28	0.517	0	0	0.007
1.148679544	chr1	148679544	NOTCH2NLB	UTR5	7	11	8	0	151	14.84	184	56	0.318
1.148952732	chr1	148952732	PDE4DIP	UTR5	5	6	6	5	7	0.272	0	0	0.038
1.149390632	chr1	149390632	NOTCH2NLC	UTR5	6	7	8	0	65	0.982	4	0	0.502
1.149390803	chr1	149390803	NOTCH2NLC	exonic	13	18	20	0	69	8.6255	429	0	0.933
1.149793234	chr1	149793234	H2BC18	intronic	5	6	6	0	41	0.8145	0	0	0.01
1.150150312	chr1	150150312	PLEKHO1	intronic	5	6	6	0	100	1.343	2	2	0.0115
1.150321490	chr1	150321490	PRPF3	UTR5	5	6	6	6	15	0.123	0	0	5e-04
1.150364656	chr1	150364656	RPRD2	UTR5	8	9	9	5	17	0.442	0	0	0.032
1.150364723	chr1	150364723	RPRD2	exonic	5	6	6	4	27	0.244	0	0	0.001
1.150579538	chr1	150579538	MCL1	UTR5	4	5	5	0	9	0.228	0	0	0.001
1.150974775	chr1	150974775	CERS2	UTR5	7	8	8	5	52	1.914	2	0	0.0175
1.1512238	chr1	1512238	ATAD3A	UTR5	7	8	8	0	30	0.533	0	0	0.0015
1.1512319	chr1	1512319	ATAD3A	exonic	3	4	4	0	5	0.104	0	0	5e-04
1.151612259	chr1	151612259	SNX27	exonic	4	5	5	0	24	0.3875	0	0	0.0075
1.151612300	chr1	151612300	SNX27	exonic	7	8	8	0	34	0.7505	0	0	0.005
