Gene	p.value	Region	CGG.STRs
LOC101927050 -> LSP1P4	2.02e-05	Intergenic	chr2:90324695, chr2:90325525, chr2:90324634, chr2:90324669, chr2:90323718, chr2:91478101, chr2:90325422, chr2:90325448, chr2:91479102, chr2:90324090, chr2:90325308
LOC102724580->MIR1299	3.77e-05	Intergenic	chr9:40650925, chr9:40651317, chr9:40651553, chr9:40584470, chr9:40584444, chr9:40651088, chr9:40651232, chr9:40584416
LOC100996643 -> LINC00537	4.71e-05	Intergenic	chr9:63385245, chr9:63385366, chr9:63385392, chr9:63385314, chr9:63385288, chr9:63450488, chr9:63450641, chr9:63385418, chr9:63385340, chr9:63781923, chr9:63703990, chr9:63450726, chr9:63450325, chr9:63450961
LOC101928381 -> LOC105379443	5.25e-05	Intergenic	chr9:65825571, chr9:64774285, chr9:64774085, chr9:64774217, chr9:64774939, chr9:64774847
RGPD6	0.000211	Gene Body	chr2:109760672, chr2:109760345, chr2:109794585, chr2:110576879, chr2:110610786, chr2:109760395
ZFHX3	0.000226	Gene Body	chr16:72957798, chr16:73058672, chr16:73058195, chr16:73058362, chr16:73058869, chr16:73058481, chr16:73048073, chr16:73058919, chr16:73058240, chr16:73058543, chr16:73058787, chr16:72787695
SKI	0.00046	Gene Body	chr1:2280839, chr1:2228504, chr1:2280580, chr1:2280666, chr1:2280623, chr1:2280709, chr1:2280882, chr1:2228088, chr1:2280968, chr1:2228000, chr1:2281054, chr1:2228263, chr1:2280925, chr1:2229006, chr1:2281011
LOC284412 -> ZNF875	0.000818	Intergenic	chr19:37302023, chr19:37289385, chr19:37294437, chr19:37274221, chr19:37299485, chr19:37286857, chr19:37271691, chr19:37296958, chr19:37281808, chr19:37291907, chr19:37276756, chr19:37279281, chr19:37284333
RGPD2	0.000922	Gene Body	chr2:86914934, chr2:86914285, chr2:86913985, chr2:86914900
RGPD1	0.00101	Gene Body	chr2:86942658, chr2:86942540, chr2:86942484, chr2:86942512, chr2:87824715
RGPD4	0.00274	Gene Body	chr2:107828717, chr2:107827692, chr2:107828602, chr2:107828102, chr2:107827897, chr2:107828217
LOC105379443 -> FOXD4L5	0.00284	Intergenic	chr9:65258898, chr9:65196025
RNA45SN5 -> MIR3648-1	0.00361	Intergenic	chr21:8549193, chr21:8549543, chr21:8594952, chr21:8594678
SAMD1	0.00375	Gene Body	chr19:14090555, chr19:14090035, chr19:14089943
LORICRIN	0.00417	Gene Body	chr1:153261485, chr1:153261011, chr1:153261640, chr1:153261131, chr1:153261784, chr1:153261387
KCNJ18 -> UBBP4	0.00547	Intergenic	chr17:21844355, chr17:21844295, chr17:21843294, chr17:21842639, chr17:21843039
POU3F3	0.00598	Gene Body	chr2:104856230, chr2:104856392, chr2:104855598, chr2:104855819, chr2:104855925, chr2:104856078, chr2:104855422, chr2:104857037
ARID1B	0.00819	Gene Body	chr6:156778053, chr6:156778583, chr6:156777858, chr6:156777947, chr6:156778946, chr6:156779263, chr6:156778732, chr6:156778848, chr6:156777699, chr6:156777819, chr6:156779297, chr6:157021056
ZNF532	0.00984	Gene Body	chr18:58863611, chr18:58863505
DLG3	0.0152	Gene Body	chrX:70452466, chrX:70444748, chrX:70445114
FOXD4L4 -> LOC101928381	0.0162	Intergenic	chr9:65762599
HRAT92 -> PDGFA	0.0172	Gene Body	chr7:520003, chr7:519879
ZIC5	0.018	Gene Body	chr13:99969818, chr13:99970655, chr13:99970404, chr13:99970091, chr13:99970579, chr13:99971106, chr13:99970796
SRGAP2-AS1	0.0181	ncRNA	chr1:144643625, chr1:144883507
PBX3	0.0182	Gene Body	chr9:125747173, chr9:125747240, chr9:125747013, chr9:125746955, chr9:125747386
FRG1FP	0.0215	Intergenic	chr22:10526101, chr22:10526473, chr22:10571583, chr22:10572069
ENPP7P13	0.0217	ncRNA	chr16:33770537, chr16:33770576, chr16:33770505, chr16:33770454, chr16:33770473
LOC100996643 -> LOC101928381	0.029	Intergenic	chr9:64711842, chr9:64711781, chr9:64711868
ZNF733P	0.0292	Intergenic	chr7:62380071, chr7:62377099, chr7:63114428, chr7:62276670
NEDD4 -> RFX7	0.0304	Intergenic	chr15:56007283, chr15:56007196
CHD7	0.0326	Gene Body	chr8:60678761, chr8:60680409, chr8:60679118, chr8:60679361, chr8:60679623
CD163 -> APOBEC1	0.0346	Intergenic	chr12:7628698
NOVA2	0.0354	Gene Body	chr19:45940370, chr19:45940296, chr19:45940596, chr19:45973962, chr19:45973385
ASXL3	0.036	Gene Body	chr18:33745897, chr18:33578393, chr18:33578459
CHEK2P2	0.0399	Intergenic	chr15:19943995, chr15:19943440
EPPK1	0.0431	Gene Body	chr8:143860558, chr8:143858959, chr8:143862160, chr8:143865355, chr8:143863762
SKOR2	0.0441	Gene Body	chr18:47247070, chr18:47248303, chr18:47246666, chr18:47247159, chr18:47248379
